id,followers_count,friends_count,verified,average_tweets_per_day,account_age_days,account_type
796216118331310080,860,880,False,0.183,1379,human
875949740503859204,172,594,False,0.864,1159,human
756119643622735875,517,633,False,0.889,1489,human
464781334,753678,116,True,1.339,3138,human
800833795234611200,27394,542,False,8.428,1366,bot
55050269,291529,1581,True,3.581,4059,human
809500704,6909959,40,True,0.421,2902,human
1015021614,24,0,False,0.099,2802,human
492306486,2130,3363,False,20.391,3108,human
432537664,32,0,False,0.29,3175,human
2579497028,26675,26,False,10.701,2251,bot
19660870,262121,643,True,8.624,4220,human
313087874,1950090,1574,True,24.355,3360,human
211550281,252142,562,True,1.686,3576,human
769392715,5281,581,False,36.391,2920,human
772106131875500032,0,0,False,0.188,1445,human
772521707810787328,0,0,False,0.073,1444,human
476691783,2365,296,False,5.859,3125,human
384565337,6,33,False,0.197,3242,bot
305922144,37278,455,True,2.691,3372,human
1183842404,4,0,False,0.008,2741,bot
253755500,7383658,3016,True,6.325,3470,human
368050288,9179,1275,True,3.395,3271,human
14418045,163616,115,True,17.301,4507,human
296484990,585,900,False,2.598,3388,human
932049341862240256,3745,2,False,2.362,1004,bot
99352713,137,140,False,1.811,3889,human
519045260,249184,984,False,8.547,3085,human
115343506,5362,355,False,2.679,3835,human
2166882457,704,598,False,2.286,2483,human
381157528,64,156,False,0.856,3248,bot
721944734,3,0,False,0.006,2944,bot
3392143521,267,246,False,0.723,1848,human
23330998,108660,1247,True,15.919,4181,human
63176889,387,328,False,6.929,4031,human
239861947,276,509,False,8.598,3500,human
21758143,157466,1031,True,8.066,4193,human
765944091385421824,12,11,False,0.911,1462,bot
19923144,30999003,1748,True,61.619,4215,bot
235667666,1300,1137,False,19.993,3510,human
1191444692,184,436,False,1.303,2739,human
2499018968,338,743,False,3.135,2286,human
557842655,93,233,False,1.227,3043,human
23331044,108,0,False,1.346,4181,bot
321388777,1285743,850,True,11.628,3346,human
298320111,1541148,628,True,0.774,3385,human
51904755,25,851,False,0.444,4069,bot
243794165,101576,286,False,2.787,3491,human
2918711542,317,413,False,1.498,2076,bot
123470069,164313,5577,False,9.645,3809,human
2943615224,916,0,False,1.656,2063,bot
127664378,179268,867,True,1.615,3795,human
1084227842,23,267,False,0.036,2775,bot
122159370,61,28,False,0.862,3813,bot
39321874,1437950,935,True,73.106,4117,bot
949036672741793793,197,7,False,15.255,957,bot
2178679070,205,702,False,0.774,2477,human
2980315426,2,0,False,0.014,2042,bot
17039652,1491,158,False,1.006,4311,human
1014793793353199617,65,114,False,1.651,776,human
202375506,7235,3115,False,17.134,3597,human
347865421,16,0,False,1.035,3303,bot
572785000,24,57,False,0.245,3026,bot
4790681969,13,106,False,0.143,1680,human
380457314,18,0,False,0.986,3249,bot
15729017,13281,1858,False,12.413,4397,human
596377986,21046,3025,True,1.538,3001,human
711721350,7,27,False,1.042,2949,bot
326369679,4476,568,False,0.016,3338,bot
866648466,1064,172,False,25.586,2872,bot
708759570319953920,31,4,False,2.19,1620,bot
722003254716944384,13,392,False,1.108,1584,bot
418,84574,2843,True,14.233,5158,human
19399072,47,166,False,0.727,4225,bot
875782003244892160,1,0,False,0.356,1159,bot
734035576068788225,21,46,False,0.236,1550,bot
816463277643288577,56,25,False,1.38,1323,human
611582397,68745,0,False,1.628,2984,human
57409991,13893,1506,True,5.371,4051,human
46662096,110,1112,False,0.124,4085,human
101974483,1077,2043,False,0.202,3879,human
2610430435,356,4412,False,1.169,2234,bot
38797799,4254877,2668,True,9.249,4120,human
30409200,103334,576,True,16.905,4148,human
24117754,171,1049,False,2.575,4177,human
491258363,680345,183,True,2.223,3109,human
4112253434,25,45,False,2.083,1750,bot
872826012794585089,26,131,False,0.13,1167,human
876795381841100801,407,186,False,5.952,1156,bot
287834630,4201705,885,True,4.165,3403,human
62915097,446,807,False,13.078,4032,human
261620277,113181,297,False,2.324,3454,human
15729207,33334,385,True,6.501,4397,human
114557496,4577055,1,True,0.279,3837,human
19923515,2015401,14905,True,103.295,4215,bot
50856512,223,624,False,1.338,4072,bot
1377305161,492,856,False,40.064,2673,human
586,1662199,924,True,14.649,5151,human
30147163,3,0,False,0.134,4149,bot
483656289,168610,85,False,2.746,3118,human
848036460,152,659,False,1.43,2883,human
336069232,56,0,False,0.077,3322,human
128799124,1151962,2597,True,4.206,3792,human
114557557,73307,2850,True,11.367,3837,human
111673973,96,267,False,0.927,3847,human
848822905,731524,302,True,2.496,2883,human
265814650,8,265,False,0.234,3446,bot
133694084,7,330,False,0.837,3777,bot
1658061462,792,290,False,7.279,2566,human
60031646,306,446,False,6.157,4043,human
111936162,27613,104,True,4.137,3846,human
2768241314,71,312,False,0.857,2185,human
703857318,6,43,False,0.892,2953,bot
632029895,28,40,False,0.307,2961,bot
1587544788,43,0,False,1.079,2595,bot
243794651,49,87,False,0.926,3491,bot
788792041,173010,344,True,1.724,2912,human
1692140268,96,145,False,0.541,2553,human
15467245,16,12,False,0.265,4415,bot
721683182,271,346,False,6.61,2944,human
3282830066,310,420,False,5.972,1859,human
20447988,210561,6801,True,6.125,4208,human
94896901,1835,2570,False,16.766,3909,human
88081160,121,101,False,5.882,3938,human
63701775,6154982,334,True,9.9,4029,human
30933781,31,85,False,0.646,4145,human
889213107112996864,24,81,False,1.111,1122,human
276562720,0,0,False,0.011,3425,bot
256115497,1672,389,False,46.576,3465,human
4848354100,31,142,False,1.22,1667,human
2318140218,512,355,False,18.055,2393,human
2581857086,57038,613,True,74.367,2250,human
1739064128,96,383,False,0.456,2538,human
47186755,1032551,0,False,0.022,4083,human
861135093213138944,40,592,False,1.028,1200,bot
20710218,1630092,4946,True,16.385,4205,bot
20972371,272796,95,False,2.52,4202,bot
1681392474,18,0,False,0.122,2557,human
795083617,384,226,False,14.266,2909,human
221512549,29739,545,False,0.559,3549,human
18088810,1318800,20,True,0.936,4267,human
29361001,48,104,False,0.3,4152,human
939262832,3508,150,True,0.173,2838,human
3101950833,620,870,False,15.171,1977,human
386139005,1599,544,False,0.228,3239,human
220464007,1,497,False,0.062,3552,human
792462217,143,381,False,0.65,2910,human
477365128,18136,3,True,0.195,3125,human
39846828,3,44,False,0.764,4115,bot
1849164720,1595,1249,True,2.728,2535,human
91227068,20126,264,True,0.66,3925,human
34866114,2605,628,True,2.378,4135,human
1021313990,426,583,False,1.344,2800,human
41681878,79,31,False,1.961,4107,bot
34079698,20,135,False,0.285,4137,bot
409207765,13,0,False,0.234,3204,bot
24642526,606,106,False,0.289,4174,human
1034115201979826178,74,40,False,0.705,722,human
24380395,279,459,False,0.368,4175,human
46662639,221,121,False,0.869,4085,human
172753966,8,0,False,0.008,3672,bot
18351153,3652,1131,True,7.817,4256,human
863765552,311,323,False,6.927,2874,bot
856949808,32,168,False,1.087,2878,bot
495453239,5,0,False,0.009,3105,bot
800588862,2,42,False,0.601,2906,bot
120587348,23,69,False,0.959,3818,bot
307233876,83404,91815,False,16.622,3370,bot
342099030,48,126,False,0.887,3312,bot
5768282,198654,1114,False,10.838,4855,human
448529505,797,844,False,52.131,3157,bot
1006905571994472448,130,215,False,0.193,797,human
202900592,25,0,False,0.543,3596,bot
38536306,2313068,647,True,0.687,4121,human
130286723,24444,1573,True,2.419,3787,human
897589708162830337,720,435,False,2.159,1099,human
2362967176,49,247,False,0.2,2367,bot
171705488,28,407,False,0.044,3675,bot
78120081,1492643,84,True,3.81,3977,human
769650999942340608,24,412,False,0.21,1452,bot
78644388,837019,25,True,0.681,3975,human
765838109976190976,10,36,False,0.913,1463,bot
1320158370,23247,18817,False,3.873,2696,human
833356976,1033,890,False,14.804,2890,human
29885619,18,27,False,0.338,4150,human
877343511858692096,0,0,False,0.171,1155,bot
1028654280,104,278,False,2.223,2796,human
970982604,350,255,False,5.352,2823,human
42730704,1032,1573,False,9.602,4102,human
2961704150,707,956,False,28.187,2051,human
85722328,205,516,False,1.245,3948,human
497288416,4625,1232,False,1.302,3103,human
403703016,1147,33,False,0.919,3212,bot
320603385,1593317,79,True,3.973,3348,human
880018682,178326,8184,True,78.681,2865,human
29099266,111,282,False,0.232,4153,human
400557314,429,1609,False,11.014,3217,human
4328785158,37,29,False,0.049,1731,bot
877379085214679040,1,0,False,0.14,1155,bot
2622731,3652,4984,False,6.892,4893,human
331613467,75,285,False,0.394,3329,human
957089052,13,37,False,0.535,2830,bot
2984510759,240,189,False,5.107,2039,bot
439878961,744733,10,False,4.171,3167,human
27526457,148171,3007,True,4.474,4160,human
896533819,18800,7283,False,8.039,2858,human
350487871,48,303,False,1.443,3299,human
123209023,41,341,False,0.906,3810,bot
45090120,1155477,557,True,0.57,4092,human
2444756300,194,339,False,0.284,2318,human
14157134,1119498,1439,True,5.945,4538,human
14681449,19985,1098,False,1.382,4487,human
969324483185119232,8,91,False,0.029,901,human
982628478284595200,336,127,False,1.436,864,human
839237419815796736,467,320,False,12.868,1260,human
321389968,11630,11668,False,25.477,3346,human
22021524,2126,2067,True,6.155,4191,human
304088468,424,0,False,2.379,3375,bot
480249240,52874,23130,False,5.281,3122,human
765659108854857729,15,28,False,0.91,1463,bot
50595242,232638,4044,True,10.822,4073,human
16254381,226230,1500,True,6.271,4359,human
837027265,372,277,False,7.19,2889,human
1126958532,109,0,False,2.582,2760,bot
38536646,3800,1017,True,4.651,4121,human
215745990,264,1137,False,0.95,3565,human
2334131662,185,214,False,12.912,2382,bot
74712538,4072365,16,True,1.313,3989,human
2727609826,1477,3773,False,4.537,2213,human
179832300,6,198,False,0.556,3654,bot
2425882104,53547,258,True,9.11,2329,human
3077047801,171,270,False,1.057,1985,bot
1125910016,5140,245,False,30.89,2760,human
171968009,449106,1111,True,1.086,3674,human
301729291,1290,862,False,5.907,3379,human
74450446,292,633,False,1.151,3990,human
1604847120,748,830,False,1.661,2588,human
362284562,178618,5021,True,26.364,3281,human
1719404058,64,70,False,0.3,2543,bot
2444756510,338,986,False,1.226,2318,human
568854046,3,0,False,0.708,3031,bot
867436081,236,1109,False,4.052,2872,bot
3164603961,11,2055,False,0.004,1954,bot
772504122608214016,0,0,False,0.085,1444,human
318768709,117,193,False,0.515,3351,human
835368880277159936,0,37,False,0.19,1271,bot
1733822028,438,357,False,2.689,2539,human
328205906,284,358,False,6.074,3335,bot
890678446698975233,1,0,False,0.214,1118,human
217319002,434,326,False,15.791,3561,human
4903929447,200,314,False,1.495,1649,human
894666092710383618,0,0,False,0.585,1107,human
1661470322,15,49,False,0.845,2565,bot
28313220,344912,894,False,0.286,4157,human
214697607,156882,33,False,0.038,3568,human
242484876,82,150,False,0.823,3494,bot
3483877814,26,7,False,2.924,1807,bot
18089641,9175,4701,True,3.195,4267,human
316147373,7636,3732,False,1.585,3355,human
969672378,18,233,False,0.019,2824,bot
293340865,40,99,False,0.662,3394,bot
476317382,162,227,False,0.603,3126,human
48236235,182,388,False,1.655,4080,human
349177562,349,350,False,3.03,3301,human
1069811420,4223,1204,True,2.515,2780,human
35391199,60,208,False,0.789,4133,human
8652512,72,224,False,0.245,4732,human
305399525,2631,2316,False,2.338,3373,human
217319143,1981,1491,False,1.053,3561,human
878028362589118464,223,2,False,11.986,1153,bot
2444232436,21,0,False,0.026,2335,bot
453510918,888158,729,False,20.324,3151,bot
150996744,714,747,False,337.202,3731,bot
2465466121,179,801,False,2.433,2306,human
885524240,25,0,False,0.811,2863,bot
888145681,163,360,False,3.932,2862,human
272893712,16,0,False,0.04,3432,human
452462357,6,4,False,0.903,3152,bot
9963292,460,505,False,0.516,4670,human
1680869150,57,1149,False,0.174,2557,bot
15730467,227315,848,True,2.202,4397,human
772384385609920512,0,0,False,0.136,1445,human
772179253676896256,0,0,False,0.099,1445,human
268961586,42,90,False,2.943,3440,human
387450674,60205,7262,False,82.777,3237,human
877353395538935808,5,0,False,0.158,1155,bot
238028607,1038871,242,False,2.054,3505,human
241698625,54,302,False,0.972,3496,bot
940050242,33,801,False,0.054,2838,bot
917505878,880564,220,True,1.401,2848,human
803412430193770496,6,32,False,2.152,1359,bot
807229152612925440,27,0,False,1.028,1348,human
242747238,117343,19119,False,14.257,3493,human
34867057,1546728,4477,True,32.652,4135,human
495716215,217,310,False,1.674,3105,bot
36439939,133385,27616,True,6.78,4129,human
52430724,233897,270,False,4.38,4067,human
73140135,60,168,False,0.214,3995,human
125568955,20,922,False,0.502,3802,bot
219416510,86,414,False,1.106,3555,bot
225445834,1387185,2347,True,4.072,3538,human
2932344784,1104391,33,True,0.117,2069,human
50595800,475,329,False,5.642,4073,bot
856426471,220,797,False,0.458,2878,human
19924969,13286,364,False,0.871,4215,human
2301364213,10,0,False,0.015,2402,bot
599001082,640139,1395,True,14.36,2998,human
147589125,1480816,21186,False,319.79,3739,human
796252778066743296,11,0,False,2.24,1379,bot
778553286022533120,0,0,False,0.463,1427,human
2196506641,2173,322,False,0.947,2468,human
883951634,1,0,False,0.009,2864,bot
2563770386,135,0,False,2.109,2259,human
161482772,101191,570,True,16.98,3702,human
1602488347,729,663,False,1.548,2589,human
178260000,6,0,False,0.119,3658,bot
614467617,454,57,False,1.937,2980,human
372508707,298,0,False,3.093,3263,bot
3236431915,189,151,False,0.17,1902,human
113248312,3198,1375,False,1.498,3842,human
762841146,63,89,False,0.653,2924,human
315623483,130,124,False,1.67,3356,human
2728659003,64,404,False,1.319,2212,bot
20711495,2530,1028,True,3.126,4205,human
80480330,921902,192,True,1.851,3969,human
1885079629,722,438,False,5.039,2525,human
99092563,1570295,243,True,1.368,3890,human
6031442,15,0,False,0.607,4845,bot
1711016023,3107,935,True,3.322,2546,human
1976043619,1669,686,False,14.798,2494,human
412354660,3,0,False,0.003,3200,bot
38537315,961,830,False,64.582,4121,bot
216533096,731943,1543,True,11.034,3563,human
849266279848562689,1,0,False,0.115,1232,bot
103024765,52336,1188,False,4.17,3875,human
2530740348,3,0,False,0.05,2274,bot
736750345095942144,184,1424,False,5.892,1543,human
786988812312449024,19,0,False,11.769,1404,bot
837344043021570049,3327,4999,False,39.876,1265,bot
710892812192124929,25279,25679,False,26.212,1614,human
784471315898109953,72,314,False,0.132,1411,bot
806067753505460225,225,880,False,6.365,1352,human
822532286138748930,82,207,False,2.655,1306,human
107481236,3699,1981,False,4.787,3861,human
732736395891118083,141,2,False,4.273,1554,bot
106170524,1317958,354,True,2.431,3865,human
771923395961360389,11,31,False,0.921,1446,bot
90704023,289,1560,False,1.713,3927,human
28838048,1273320,670,True,9.787,4154,human
38799543,856548,1537,False,8.88,4120,human
67635391,462919,1355,True,16.655,4015,human
14944471,1563,1912,False,9.377,4464,human
288884968,10,8,False,0.88,3401,bot
35916009,105389,757,True,8.099,4131,human
278399214,102,0,False,1.398,3422,bot
321390831,28,63,False,0.017,3346,bot
205261048,50,0,False,0.596,3590,bot
843798888481927168,0,0,False,0.201,1247,human
2431387897,177,852,False,2.156,2326,human
251136261,24,0,False,0.901,3475,bot
188483855,9,0,False,0.037,3632,bot
2253916442,403,994,False,10.168,2434,human
1249904934,1381,1095,False,27.578,2721,human
17828140,251,0,False,0.187,4277,human
119802157,2494,2395,False,2.915,3820,human
41421105,1096856,1536,True,2.506,4108,human
236980532,1808775,224,True,0.29,3507,human
713039970680881153,110,48,False,8.899,1608,bot
4820306248,14,23,False,1.898,1676,bot
39586129,1103,1720,False,0.83,4116,bot
2590771538,10,0,False,0.565,2245,bot
248252756,78,312,False,0.452,3481,human
879710844325703680,4,44,False,0.225,1148,bot
896153708991590400,0,0,False,0.169,1103,human
146540920,1538905,2935,True,285.091,3742,bot
420219280,1265,922,False,30.35,3191,human
231999899,895,168,False,2.714,3520,bot
298060189,1413,3358,False,8.303,3385,human
781888610320678912,0,0,False,0.088,1418,human
772262928795992064,2,0,False,0.138,1445,human
403179950,1374873,832935,True,17.074,3213,bot
24906161,807,689,False,15.924,4172,human
877326428399779840,1,0,False,0.194,1155,bot
262146488,288,439,False,13.254,3452,human
369625532,1689,2229,False,51.594,3268,human
842870779066945536,3,727,False,0.235,1250,human
20449731,105,310,False,2.164,4208,human
3266054594,899,444,False,8.536,1874,human
37751238,316,220,False,3.241,4124,human
877293082177306624,0,0,False,0.149,1155,bot
18614747,138654,2344,True,18.768,4244,human
2307656165,14645,7827,False,233.21,2395,bot
5507572,1685,666,False,7.05,4864,human
12585462,829,1865,False,8.348,4592,human
177474041,593,941,False,5.365,3660,human
25954814,3415949,798,True,6.164,4167,human
787483152,1818,999,False,10.238,2912,human
405015059,520347,109,False,1.535,3210,human
4848093719,463,57,False,9.863,1667,human
547097112,5196,468,True,9.609,3056,human
467991054,18,0,False,0.521,3135,bot
111938071,5,1,False,0.518,3846,bot
20711964,54364,226,True,2.005,4205,human
22284834,36,46,False,0.56,4189,bot
3312192048,51,871,False,0.605,1835,human
279185985,206294,458,True,4.841,3420,human
906758731,2544,1984,True,6.896,2853,human
2532837963,165,619,False,5.3,2296,human
878447185,77789,90500,False,7.68,2866,human
592972389,594,555,False,7.98,3004,human
60820070,4,0,False,0.005,4040,bot
42207855,2612269,0,True,0.111,4104,human
72878707,649266,898,False,1.808,3996,human
46926453,207,468,False,1.656,4084,human
19925621,2237,1423,False,3.191,4215,human
351799946,390,0,False,7.929,3297,bot
3299871373,18,0,False,1.197,1848,bot
790701621181292544,336,226,False,1.537,1394,human
803570644843634688,6,76,False,1.161,1358,bot
3077835414,655,602,False,11.584,1985,human
124258971,4902555,26,True,0.779,3806,human
19663518,8789,721,False,1.428,4220,human
37489316,180,588,False,0.626,4125,human
803356645950627841,0,0,False,0.143,1359,human
15731377,242,649,False,0.726,4397,human
132385468,41478966,24,True,11.342,3781,human
772455418455007234,0,0,False,0.102,1444,human
227019467,3,0,False,0.032,3534,bot
413403853,818,491,False,9.659,3199,human
44829395,103,168,False,0.473,4093,human
175639254,4,28,False,0.166,3665,bot
460279825,72461,10108,False,8.352,3143,human
2337802973,93,1024,False,0.437,2380,human
91491046,380,355,True,0.28,3924,human
1516505838,2,25,False,0.776,2622,bot
165153530,14280,687,True,1.299,3692,human
279710472,24378,867,True,14.851,3419,human
247991049,1273,765,False,16.707,3482,human
226757393,57,411,False,0.253,3535,human
71568164,123,603,False,0.92,4001,human
805571370,132,154,False,1.006,2904,human
630459182,564,1185,False,1.773,2963,human
348654395,460,119,False,2.175,3302,human
436996936,11,0,False,0.322,3170,bot
61868891,117,0,False,0.695,4036,human
73141088,85,128,False,1.457,3995,bot
1219758966,1934,479,False,30.92,2731,human
3300133759,134,383,False,0.308,1848,human
715918219,18,346,False,0.591,2946,bot
4849142669,8,21,False,0.437,1667,bot
23595924,62501,3390,True,16.346,4179,human
18353044,3919,925,False,1.68,4256,human
393743257,479,487,False,1.164,3227,human
310643621,10,88,False,0.43,3364,bot
754373350676271104,365,208,False,2.652,1494,human
265554862,2474426,206,True,1.254,3446,human
2363231167,53173,6,False,74.484,2365,bot
4384885696,10,38,False,0.841,1718,bot
772428274702090240,0,0,False,0.292,1444,human
1233652698,324,289,False,1.57,2727,human
103025630,261,0,False,0.249,3875,human
24906723,1370342,693,True,3.077,4172,human
46664677,242,528,False,2.272,4085,human
132385773,5,26,False,0.583,3781,bot
875894126855802880,0,0,False,0.186,1159,bot
34343928,203635,2264,True,3.843,4136,human
18091004,2092901,513,True,32.183,4267,bot
379325443,37,0,False,0.962,3251,bot
790629380,756,415,False,22.714,2911,human
38973772,42,210,False,0.927,4119,human
250350611,3,0,False,0.027,3477,human
2610433058,1197,1471,False,4.028,2234,human
64228387,750,227,False,7.963,4027,human
20974645,6796,6919,False,0.478,4202,human
483396662,84406,430,True,2.108,3118,human
342363193,1073472,8709,False,21.296,3312,human
2718436417,103,110,False,0.018,2202,human
2171079759,53,0,False,0.058,2477,bot
1002441816,10,0,False,0.833,2808,bot
114035804,1835470,460,True,2.71,3839,human
769633309722763264,1013,33,False,0.505,1452,human
875835223480557568,1,0,False,0.241,1159,bot
2794720358,1535,239,False,6.909,2173,human
53218408,377,536,False,2.467,4065,human
19139694,30457,454,False,1.759,4231,human
482610286,76,1681,False,0.181,3119,human
2158759025,559,802,False,10.711,2485,bot
3979873394,3,19,False,11.728,1762,bot
14421107,111,521,False,1.592,4506,human
538446976,636,949,False,4.342,3066,human
2573208707,859,882,False,11.994,2272,human
71225650,1368076,204,True,29.58,4002,bot
153619589,3912094,507,True,2.994,3724,human
711050934109876224,18,636,False,0.815,1614,human
27528339,1898901,1043,False,42.312,4160,human
784286171673145344,0,0,False,0.245,1412,bot
2468088978,23,319,False,1.245,2304,bot
